Category,Item,Measure,price,Image Link
Oranje,Uitbeenmes smal flex.,13 cm,"€ 8,36",http://www.manhard.eu/upload/webshop/default_020733067.jpg?uid=0.214123
Zwart,Steekmes,16 cm,"€ 10,14",http://www.manhard.eu/upload/webshop/default_020822052.jpg?uid=0.2118036
Zwart,Steekmes,18 cm,"€ 11,19",http://www.manhard.eu/upload/webshop/default_020838001.jpg?uid=0.9305536
Zwart,Steekmes,21 cm,"€ 12,71",http://www.manhard.eu/upload/webshop/default_020838001.jpg?uid=0.9305536
Zwart,"Gebogen, flexibel",13 cm,"€ 7,94",http://www.manhard.eu/upload/webshop/default_020801003.jpg?uid=0.8991205
n.v.t.,Steekdolk,15 cm,"€ 10,58",http://www.manhard.eu/upload/webshop/default_020316082.jpg?uid=0.3150751
Blauw,breed,18 cm,"€ 11,9",http://www.manhard.eu/upload/webshop/default_020702053.jpg?uid=0.6874353
Zwart,Uitbeenmes,13 cm,"€ 9,2",http://www.manhard.eu/upload/webshop/default_020824019.jpg?uid=0.4887659
Zwart,Polkmes,10 cm,"€ 6,75",http://www.manhard.eu/upload/webshop/default_020837004.jpg?uid=4.479617E-02
Groen,Polkmes,10 cm,"€ 6,75",http://www.manhard.eu/upload/webshop/default_020837004.jpg?uid=4.479617E-02
Geel,Polkmes,10 cm,"€ 6,75",http://www.manhard.eu/upload/webshop/default_020837004.jpg?uid=4.479617E-02
Blauw,breed,13 cm,"€ 8,36",http://www.manhard.eu/upload/webshop/default_020701053.jpg?uid=0.8741571
Blauw,breed,15 cm,"€ 9,35",http://www.manhard.eu/upload/webshop/default_020701053.jpg?uid=0.8741571
Zwart,Huidmes,15 cm,"€ 14,99",http://www.manhard.eu/upload/webshop/default_020509065.jpg?uid=0.2304041
Zwart,Huidmes,18 cm,"€ 17,54",http://www.manhard.eu/upload/webshop/default_020509065.jpg?uid=0.2304041
Wit,voor kloofbijlen 27 t/m 32 cm,n.v.t.,"€ 14,57",http://www.manhard.eu/upload/webshop/default_020241003.jpg?uid=0.7148401
Geel,voor Hakmessen,25 cm,"€ 7,05",http://www.manhard.eu/upload/webshop/default_020241001.jpg?uid=0.2655603
Zwart,voor Hakmessen,n.v.t.,"€ 7,05",http://www.manhard.eu/upload/webshop/default_020241001.jpg?uid=0.2655603
Wit,voor Hakmessen,25 cm,"€ 14,57",http://www.manhard.eu/upload/webshop/default_020241001.jpg?uid=0.2655603
Wit,voor kloofbijlen 24 cm,24 cm,"€ 14,57",http://www.manhard.eu/upload/webshop/default_020241005.jpg?uid=0.0662958
Wit,voor kloofbijlen 24 cm,24 cm,"€ 14,57",http://www.manhard.eu/upload/webshop/default_020241005.jpg?uid=0.0662958
Zwart,Zwoerdmes,n.v.t.,"€ 9,07",http://www.manhard.eu/upload/webshop/default_nl.jpg?uid=0.3038446
Zwart,Steekdolk,16 cm,"€ 18,68",http://www.manhard.eu/upload/webshop/default_020143004.jpg?uid=0.1419184
n.v.t.,26 cm,26 cm,"€ 24,14",http://www.manhard.eu/upload/webshop/default_020338004.jpg?uid=0.9118158
n.v.t.,Koksmes,17 cm,"€ 79,41",http://www.manhard.eu/upload/webshop/default_020435017.jpg?uid=0.9293939
n.v.t.,Officemes,9 cm,"€ 32,7",http://www.manhard.eu/upload/webshop/default_020435021.jpg?uid=9.595889E-02
Blauw,Smal geb. flexibel,13 cm,"€ 8,36",http://www.manhard.eu/upload/webshop/default_020701077.jpg?uid=0.9617426
Rood,Smal geb. flexibel,13 cm,"€ 8,36",http://www.manhard.eu/upload/webshop/default_020701077.jpg?uid=0.9617426
Blauw,Smal geb. flexibel,15 cm,"€ 9,35",http://www.manhard.eu/upload/webshop/default_020701077.jpg?uid=0.9617426
Zwart,Hammes,30 cm,"€ 22,58",http://www.manhard.eu/upload/webshop/default_020510033.jpg?uid=0.873852
n.v.t.,Linkshandig getand,36 cm,"€ 26,3",http://www.manhard.eu/upload/webshop/default_020434029.jpg?uid=0.4434931
n.v.t.,Linkshandig getand,36 cm,"€ 24,52",http://www.manhard.eu/upload/webshop/default_020434029.jpg?uid=0.4434931
n.v.t.,Linkshandig getand,40 cm,"€ 13,43",http://www.manhard.eu/upload/webshop/default_020434029.jpg?uid=0.4434931
Zwart,met kuiltjes,20 cm,"€ 15,85",http://www.manhard.eu/upload/webshop/default_020805066.jpg?uid=0.917248
Geel,Smal,15 cm,"€ 9,35",http://www.manhard.eu/upload/webshop/default_020701054.jpg?uid=0.1645166
n.v.t.,Groentemes,12 cm,"€ 49,08",http://www.manhard.eu/upload/webshop/default_020435031.jpg?uid=0.9511988
Zwart,Keukenmes,15 cm,"€ 7,04",http://www.manhard.eu/upload/webshop/default_020426038.jpg?uid=0.5605127
Zwart,Keukenmes,18 cm,"€ 8,08",http://www.manhard.eu/upload/webshop/default_020426038.jpg?uid=0.5605127
Zwart,Banketbakkersmes,30 cm,"€ 14,49",http://www.manhard.eu/upload/webshop/default_020429040.jpg?uid=0.8217432
Zwart,Hammes,24 cm,"€ 9,25",http://www.manhard.eu/upload/webshop/default_020429033.jpg?uid=4.092044E-02
Zwart,Groentemes,11 cm,"€ 4,68",http://www.manhard.eu/upload/webshop/default_020426031.jpg?uid=0.5306665
Zwart,Steakmes,12 cm,"€ 4,54",http://www.manhard.eu/upload/webshop/default_020426039.jpg?uid=0.6705591
Zwart,Vleesvork,14 cm,"€ 6,11",http://www.manhard.eu/upload/webshop/default_020426022.jpg?uid=0.2548487
n.v.t.,Schubmes,19 cm,"€ 3,22",http://www.manhard.eu/upload/webshop/default_020316077.jpg?uid=0.9930689
Blauw,Schubmes,27 cm,"€ 4,81",http://www.manhard.eu/upload/webshop/default_020316077.jpg?uid=0.9930689
Blauw,Schubmes,18 cm,"€ 27,76",http://www.manhard.eu/upload/webshop/default_020316077.jpg?uid=0.9930689
n.v.t.,Shoarma-/Souflakymes ,36 cm,"€ 21,62",http://www.manhard.eu/upload/webshop/default_020434065.jpg?uid=0.1335108
n.v.t.,Shoarma-/Souflakymes ,40 cm,"€ 24,13",http://www.manhard.eu/upload/webshop/default_020434065.jpg?uid=0.1335108
n.v.t.,Shoarma-/Souflakymes ,36 cm,"€ 21,94",http://www.manhard.eu/upload/webshop/default_020434065.jpg?uid=0.1335108
Zwart,Shoarma-/Souflakymes ,44 cm,"€ 17,08",http://www.manhard.eu/upload/webshop/default_020434065.jpg?uid=0.1335108
n.v.t.,Shoarma-/Souflakymes ,36 cm,"€ 21,62",http://www.manhard.eu/upload/webshop/default_020434065.jpg?uid=0.1335108
n.v.t.,Shoarma-/Souflakymes ,40 cm,"€ 11,72",http://www.manhard.eu/upload/webshop/default_020434065.jpg?uid=0.1335108
n.v.t.,Shoarma-/Souflakymes ,44 cm,"€ 12,9",http://www.manhard.eu/upload/webshop/default_020434065.jpg?uid=0.1335108
Blauw,Dolkmes,21 cm,"€ 27,88",http://www.manhard.eu/upload/webshop/default_020739002.jpg?uid=0.201687
Geel,"breed, gebogen",20 cm,"€ 13,28",http://www.manhard.eu/upload/webshop/default_020805055.jpg?uid=0.6261865
Oranje,Uitbeenmes smal,13 cm,"€ 8,36",http://www.manhard.eu/upload/webshop/default_020733068.jpg?uid=0.9018213
Oranje,Uitbeenmes smal,15 cm,"€ 9,35",http://www.manhard.eu/upload/webshop/default_020733068.jpg?uid=0.9018213
n.v.t.,20 cm,20 cm,"€ 12,08",http://www.manhard.eu/upload/webshop/default_020338003.jpg?uid=0.1774561
Zwart,Snijmes,25 cm,"€ 11,88",http://www.manhard.eu/upload/webshop/default_020429059.jpg?uid=0.975857
Zwart,Snijmes,30 cm,"€ 13,54",http://www.manhard.eu/upload/webshop/default_020429059.jpg?uid=0.975857
Zwart,Snijmes,36 cm,"€ 14,76",http://www.manhard.eu/upload/webshop/default_020429059.jpg?uid=0.975857
Zwart,Snijmes,25 cm,"€ 12,98",http://www.manhard.eu/upload/webshop/default_020429059.jpg?uid=0.975857
Zwart,Snijmes,40 cm,"€ 18,04",http://www.manhard.eu/upload/webshop/default_020429059.jpg?uid=0.975857
Blauw,Zalmmes,30 cm,"€ 14,29",http://www.manhard.eu/upload/webshop/default_020429027.jpg?uid=0.4525415
Zwart,Tomaten-/kaasmes,12 cm,"€ 3,24",http://www.manhard.eu/upload/webshop/default_020429024.jpg?uid=0.7127344
