Image Link,Title,Description,Main Category,Sub Category 1,Sub Category 2,color,Measure,price
http://www.manhard.eu/upload/webshop/default_020507009.jpg?uid=0.7967798,Flexibel,"VICTORINOX vliesmes, flexibel",Messen,VICTORINOX messen,Vliesmes,Zwart,16 cm,"€ 11,81"
http://www.manhard.eu/upload/webshop/default_020507009.jpg?uid=0.7967798,Flexibel,"VICTORINOX vliesmes, flexibel",Messen,VICTORINOX messen,Vliesmes,Zwart,18 cm,"€ 13,94"
http://www.manhard.eu/upload/webshop/default_020507009.jpg?uid=0.7967798,Flexibel,"VICTORINOX vliesmes, flexibel",Messen,VICTORINOX messen,Vliesmes,Zwart,20 cm,"€ 14,17"
http://www.manhard.eu/upload/webshop/default_020507009.jpg?uid=0.7967798,Flexibel,"VICTORINOX vliesmes, smal, flexibel",Messen,VICTORINOX messen,Vliesmes,Zwart,20 cm,"€ 14,7"
http://www.manhard.eu/upload/webshop/default_020510033.jpg?uid=0.9033319,Hammes,VICTORINOX hammes,Messen,VICTORINOX messen,Hammes,Zwart,30 cm,"€ 22,58"
http://www.manhard.eu/upload/webshop/default_020824019.jpg?uid=0.6189844,Uitbeenmes,"GIESSER PrimeLine uitbeenmes, smal, gebogen, semi-flexibel",Messen,GIESSER messen,PrimeLine,Zwart,13 cm,"€ 9,2"
http://www.manhard.eu/upload/webshop/default_nl.jpg?uid=0.3963892,Zwoerdmes,"GIESSER zwoerdmes voor insnijden van zwoerd, 3-voudig",Messen,GIESSER messen,Diverse,Zwart,n.v.t.,"€ 9,07"
http://www.manhard.eu/upload/webshop/default_020733068.jpg?uid=0.6906397,Uitbeenmes smal,"DICK uitbeenmes, Mastergrip, smal",Messen,DICK messen,MasterGrip,Oranje,13 cm,"€ 8,36"
http://www.manhard.eu/upload/webshop/default_020733068.jpg?uid=0.6906397,Uitbeenmes smal,"DICK uitbeenmes, Mastergrip, smal",Messen,DICK messen,MasterGrip,Oranje,15 cm,"€ 9,35"
http://www.manhard.eu/upload/webshop/default_020739002.jpg?uid=0.1385767,Dolkmes,"DICK dolkmes, Ergogrip",Messen,DICK messen,Diverse messen,Blauw,21 cm,"€ 27,88"
http://www.manhard.eu/upload/webshop/default_020509065.jpg?uid=0.8785059,Huidmes,VICTORINOX huidmes,Messen,VICTORINOX messen,Huidmes,Zwart,15 cm,"€ 14,99"
http://www.manhard.eu/upload/webshop/default_020509065.jpg?uid=0.8785059,Huidmes,VICTORINOX huidmes,Messen,VICTORINOX messen,Huidmes,Zwart,18 cm,"€ 17,54"
http://www.manhard.eu/upload/webshop/default_020316067.jpg?uid=0.8291742,Poontrekker,MANHARD RVS poontrekker,Messen,ICEL vismessen,Diverse,n.v.t.,n.v.t.,"€ 36,93"
http://www.manhard.eu/upload/webshop/default_020316067.jpg?uid=0.8291742,Poontrekker,MANHARD mesje voor poontrekker,Messen,ICEL vismessen,Diverse,n.v.t.,10 mm,"€ 3,04"
http://www.manhard.eu/upload/webshop/default_020837004.jpg?uid=0.8321039,Polkmes,GIESSER polkmes,Messen,GIESSER messen,Diverse messen,Zwart,10 cm,"€ 6,75"
http://www.manhard.eu/upload/webshop/default_020837004.jpg?uid=0.8321039,Polkmes,GIESSER polkmes,Messen,GIESSER messen,Diverse messen,Groen,10 cm,"€ 6,75"
http://www.manhard.eu/upload/webshop/default_020837004.jpg?uid=0.8321039,Polkmes,GIESSER polkmes,Messen,GIESSER messen,Diverse messen,Geel,10 cm,"€ 6,75"
http://www.manhard.eu/upload/webshop/default_020838001.jpg?uid=0.2805292,Steekmes,GIESSER steekmes met veiligheidsgreep Nr. 2,Messen,GIESSER messen,Veiligheidsgreep Nr. 2,Zwart,18 cm,"€ 11,19"
http://www.manhard.eu/upload/webshop/default_020838001.jpg?uid=0.2805292,Steekmes,GIESSER steekmes met veiligheidsgreep Nr. 2,Messen,GIESSER messen,Veiligheidsgreep Nr. 2,Zwart,21 cm,"€ 12,71"
http://www.manhard.eu/upload/webshop/default_020702053.jpg?uid=0.971081,breed,"DICK steekmes, Ergogrip, breed",Messen,DICK messen,Steekmes,Blauw,18 cm,"€ 11,9"
http://www.manhard.eu/upload/webshop/default_020733067.jpg?uid=0.3649408,Uitbeenmes smal flex.,"DICK uitbeenmes, Mastergrip, smal, gebogen, flexibel",Messen,DICK messen,MasterGrip,Oranje,13 cm,"€ 8,36"
